"_id","lat","lng"
"2AGcvH4FSgejDFMrD","-23.5267365","-46.6729637"
"2KLGT5uDrtExdYuz3","-23.6981793","-46.673799"
"2XEDiM4XLhmBvRa6K","-23.6580005","-46.6642439"
"2dSnp5K9NeyrWSeRn","-23.5267365","-46.6729637"
"2fRWEkc7tSo8xKTBi","-23.6115368","-46.6700762"
"2wTcapuJgLHzg7wbB","-23.6322503","-46.6823226"
"3dRBxPzCTYNCgfuRu","-23.5325763","-46.6865892"
"3yKck7ixixDMnrZ9p","-23.5567719","-46.7076535"
"44bnF8R5RsNptCiDA","-23.6919626","-46.7146153"
"5vpPvW7pQiTWmqR9r","-23.5991817","-46.7085119"
"5wcMWKu9qdkTqazPy","-23.6750791","-46.712462"
"6Tsxa5dMoRmszhKHf","-23.6604624","-46.6949894"
"8GHvND6BWkgYqF4D2","-23.6955031","-46.6665486"
"8L6qjPajL2DNZYnXg","-23.6237079","-46.6618781"
"8bEp8y9QWc3Xmi4Dk","-23.5623333","-46.64136"
"8rcMRgtDsaedSH8Dk","-23.6850536","-46.6911706"
"96SggG6TkwL6fBRMY","-23.5519986","-46.7410387"
"9htEdSSAdGGNChm5K","-23.656029","-46.7358219"
"B8sJNEQ5bhfjT6hBJ","-23.6348897","-46.67891480000001"
"BvWuxEMgfKsdPkz5p","-23.5424945","-46.7117909"
"BzorCP6ptCb6g2mM4","-23.675852","-46.7343511"
"DT5fiqGrq2Wo4NYpH","-23.6273189","-46.6846937"
"FSowD8Q3rY9uFtFkR","-23.4937815","-46.507185"
"FbmTaXmepMKace75P","-23.5383998","-46.7082337"
"FdMEyeKSKWimZk54T","-23.6402787","-46.6738173"
"G7u4P8J6SukfNcb8H","-23.6788611","-46.7068723"
"GYEYNbf2jM2Jtuc4m","-23.6018936","-46.6607213"
"Gt3uFyCgEShqZs5wS","-23.5275147","-46.6718309"
"H3fP6ty54PetErcMz","-23.5891114","-46.6106724"
"Hbf3aJkMdBv6zkSd3","-23.6981793","-46.673799"
"JvarWYtPhzrFWLKzB","-23.656029","-46.7358219"
"K9AYTDLpLT3xT3xzZ","-23.5683274","-46.704386"
"KmJHob5y6ZxeGycxq","-23.570786","-46.69109719999999"
"L8hERCbsr3JHDeDFW","-23.5715766","-46.6697673"
"L8xwvtg3ZijFMdrfd","-23.5676098","-46.6836783"
"LHaNk2ixW5NvAQiLL","-23.6495571","-46.75124479999999"
"LHiNgoYcCbBRZHqAL","-23.6880403","-46.6966943"
"LLmzm84h638JQohtB","-23.530045","-46.750435"
"M3yy3hehNMZ5kzavh","-23.5669328","-46.6859343"
"MFCnYnDjCXqgd9Wd8","-23.5250383","-46.6981684"
"MKtJADewDs74g7moa","-23.503102","-46.6667004"
"MPF7mAuuDeQw8GRZX","-23.5597046","-46.6699925"
"N4xAcKDh7y6vJb3a7","-23.5838727","-46.6786518"
"NEn2yR4awb4YfbEfS","-23.5342839","-46.661841"
"NhsHdc7Xv3Mwd3w86","-23.6176772","-46.6817542"
"NtXzqY4pzb2cw8hRx","-23.6484975","-46.74973689999999"
"QNZzPQATn7LBCJEpi","-23.7067906","-46.5756297"
"RCHL6BHapnXqq5EX7","-23.6659229","-46.7120317"
"RDDA2LT6Y4XAeomRG","-23.6322503","-46.6823226"
"RbL8wuJKHynGqiNTN","-23.7921173","-46.7275472"
"Rdqzgf7ihKiNYRHNf","-23.6284474","-46.6840293"
"SJSrqBT8uvxdGWLQ8","-23.5670218","-46.68384959999999"
"SxMg5zzXfRfsPCZPG","-23.5776316","-46.6429347"
"T6vwNjN2tAgWDSzBy","-23.5414403","-46.7194824"
"TDc8NQWRz9dfcs9X7","-23.6880403","-46.6966943"
"TZEhxH2K3RwtK3zhp","-23.541425","-46.6710726"
"Tba5am9zZDuswB9uW","-23.6750791","-46.712462"
"WRmqwuLrG5wNRACJd","-23.6955031","-46.6665486"
"WnwyX7y4YZ55xPtzc","-23.7009635","-46.6850124"
"WoCDf8hcyToQhvYfc","-23.5922126","-46.7216365"
"YRwtvDrzH5cmD7d3a","-23.5889798","-46.7285335"
"Yq6xSWg7joZyxuYbb","-23.5644645","-46.6550449"
"Z4Gt2ipnt2nZG89HK","-23.6919626","-46.7146153"
"ZHAb7oYcCh2zk8oe3","-23.7411945","-46.7057653"
"ZX7uJdAy62ozqrhb6","-23.6535771","-46.6683509"
"ZezeDYHiDujPuFJFs","-23.7545175","-46.6739086"
"aEafnbFtMdQ4yBePv","-23.5355492","-46.662843"
"abpfAWnuWKLwtzN49","-23.592805","-46.6213278"
"aqZyvTuBX2bFFwHdb","-23.514824","-46.66679329999999"
"bxKm5n7CuurAGoTho","-23.5733565","-46.6104658"
"bzSoZQXdAZToqwBnm","-23.4937815","-46.507185"
"cBT8RbrrFATHQuHn4","-23.6176772","-46.6817542"
"cZPzK6yf7DM3xNhr3","-23.6560351","-46.73586"
"cnCH6SHsfKeKLK9yw","-23.571226","-46.6908275"
"cqv58QmDr56nXcBkn","-23.5374112","-46.7222194"
"dgYy7qvndhQPYwAz2","-23.5676098","-46.6836783"
"ecga5LqJqSJRnAzd5","-23.6957026","-46.7146829"
"gL2v2wous42f78H6v","-23.756086","-46.6707526"
"hCFvdwKJv78WXv7vG","-23.6981793","-46.673799"
"hm8TuJ3q43uoEP3zh","-23.6535771","-46.6683509"
"hmBi7pn2mD7pTEzab","-23.6819738","-46.6894042"
"iLchThjbw7dLJ5XFL","-23.6819738","-46.6894042"
"isXvBfdkWyXHKt7dw","-23.6018936","-46.6607213"
"ise76YpfkmFHmsQW2","-23.5111715","-46.555226"
"jNipdforudMtDiW47","-23.5612458","-46.701798"
"k8sCQLz3hKLGiZrYe","-22.7377197","-45.5323394"
"kMjmdqHqdhovtSdMp","-23.5877978","-46.59791"
"krSSBAz9kkzwCvyCD","-23.6222942","-46.6401647"
"n9oSM5JYP49zEtQWa","-23.7009635","-46.6850124"
"nFEbcaZqCzowzKshh","-23.503102","-46.6667004"
"nJbceN4X9ANpW62Cb","-23.5807518","-46.6789171"
"npdvFDqnRW7QLz34K","-23.6652865","-46.70936"
"nvg9Sp76XMqPxwLNK","-23.5952849","-46.6318328"
"o6iNMc3pXrqCpDAFg","-23.5271305","-46.6825899"
"ogMDrA2ubACv8cJSD","-23.6604624","-46.6949894"
"ooR3HjuhxEWxaRaek","-23.4801555","-46.5676275"
"osn9D3RAWoairZDP6","-23.5277886","-46.5917188"
"oygtatyyRYJSgWWbi","-23.7151399","-46.698788"
"pAtLt7Qn3y72uqyDk","-23.6068613","-46.6757713"
"pEPgbTNGLzhA7a7JN","-23.6324865","-46.6818921"
"qEXvms4EZWpKCh4QN","-23.6560351","-46.73586"
"qTMmYjSr3TsiqG5Jr","-23.5734517","-46.6110499"
"r2ByNqFfFNCcBc6xx","-23.6788611","-46.7068723"
"rr3qtaXWBBEuzkPvq","-23.5881773","-46.6767392"
"s2BNqjvP6eheSS4Qj","-23.5660636","-46.6560458"
"sHgjp3HfWhQoHneWd","-23.6955031","-46.6665486"
"sT8y8WhJxMZe57c3C","-23.5392582","-46.6834614"
"sWemWcynZ3qdwkhto","-23.675852","-46.7343511"
"sYRXtH2ZwJEhTGw5c","-23.525081","-46.6916343"
"sbk2HwBBStBBGget6","-23.6819738","-46.6894042"
"syHQDRh3GqiLw2cLR","-23.6535771","-46.6683509"
"tLiSpAdG8brtWMoD3","-23.5597046","-46.6699925"
"tLjJ6k24Aay953B8r","-23.5519986","-46.7410387"
"tTeDa9XTYPw95sjTm","-23.6273189","-46.6846937"
"tofhQnAgEGNXTpfQK","-23.5748716","-46.6679786"
"vfSjnx3HPqywLt5Lu","-23.5271305","-46.6825899"
"wrbuxQBmfxLXgnjrF","-23.5670218","-46.68384959999999"
"xNcKMEhJa5MGXGoAR","-23.5374112","-46.7222194"
"ypBucrsKWk2vwxpWY","-23.5627452","-46.6818838"
"zb9Kh4Av2egkRDjwR","-23.6115368","-46.6700762"
"zfidZnPbz8FyMyJTp","-23.5282281","-46.6916758"
